latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,geometry,index_right,OBJECTID,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Le_1,Shape_Area
37.5604,-120.9665,302.4,1.0,1.0,2023-01-01,1839,Terra,MODIS,52,6.03,283.4,6.9,D,0,POINT (-120.9665 37.5604),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
36.446,-121.4455,303.5,1.4,1.2,2023-01-03,1823,Terra,MODIS,56,6.03,282.9,12.0,D,0,POINT (-121.4455 36.446),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
32.6666,-115.6495,323.8,1.1,1.0,2023-01-03,1824,Terra,MODIS,59,6.03,292.5,20.4,D,0,POINT (-115.6495 32.6666),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
32.6555,-115.6401,315.3,1.1,1.1,2023-01-03,1824,Terra,MODIS,24,6.03,291.7,10.9,D,0,POINT (-115.6401 32.6555),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
32.7404,-115.4679,303.7,2.5,1.5,2023-01-04,2030,Aqua,MODIS,38,6.03,283.9,17.2,D,0,POINT (-115.4679 32.7404),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
33.1347,-115.4875,317.1,4.1,1.9,2023-01-06,2017,Aqua,MODIS,77,6.03,295.7,101.7,D,0,POINT (-115.4875 33.1347),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
33.1393,-115.4963,318.9,4.1,1.9,2023-01-06,2017,Aqua,MODIS,79,6.03,294.9,115.3,D,0,POINT (-115.4963 33.1393),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
32.618,-116.1369,313.5,1.1,1.0,2023-01-07,2059,Aqua,MODIS,69,6.03,288.9,11.9,D,0,POINT (-116.1369 32.618),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
38.5563,-122.5508,301.3,1.1,1.1,2023-01-12,2117,Aqua,MODIS,46,6.03,268.5,8.7,D,0,POINT (-122.5508 38.5563),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
35.1077,-119.3546,306.4,2.7,1.6,2023-01-16,1907,Terra,MODIS,63,6.03,283.6,34.9,D,0,POINT (-119.3546 35.1077),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
40.1758,-123.4522,308.1,1.0,1.0,2023-01-17,2133,Aqua,MODIS,66,6.03,277.4,12.5,D,0,POINT (-123.4522 40.1758),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
41.7895,-122.644,303.4,1.1,1.0,2023-01-17,2134,Aqua,MODIS,56,6.03,282.8,9.4,D,0,POINT (-122.644 41.7895),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
41.7879,-122.6566,332.1,1.1,1.0,2023-01-17,2134,Aqua,MODIS,88,6.03,284.0,39.5,D,0,POINT (-122.6566 41.7879),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
33.2286,-114.6852,304.3,1.3,1.1,2023-01-19,1755,Terra,MODIS,54,6.03,287.3,8.0,D,0,POINT (-114.6852 33.2286),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
34.6073,-117.9332,335.0,1.1,1.1,2023-01-20,1835,Terra,MODIS,78,6.03,283.5,42.7,D,0,POINT (-117.9332 34.6073),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
34.6093,-117.9452,309.9,1.1,1.1,2023-01-20,1835,Terra,MODIS,60,6.03,282.2,11.1,D,0,POINT (-117.9452 34.6093),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
33.2157,-115.5038,305.1,3.3,1.7,2023-01-20,2023,Aqua,MODIS,43,6.03,292.2,22.8,D,0,POINT (-115.5038 33.2157),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
34.1206,-117.9347,307.5,1.1,1.0,2023-01-21,2105,Aqua,MODIS,60,6.03,295.0,5.3,D,2,POINT (-117.9347 34.1206),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
34.5938,-117.9343,307.8,1.1,1.0,2023-01-21,2105,Aqua,MODIS,62,6.03,291.6,4.9,D,0,POINT (-117.9343 34.5938),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
34.1187,-117.9461,306.0,1.1,1.0,2023-01-21,2105,Aqua,MODIS,50,6.03,294.5,4.4,D,2,POINT (-117.9461 34.1187),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
38.4925,-122.5142,303.9,1.2,1.1,2023-01-23,1900,Terra,MODIS,57,6.03,285.8,9.5,D,0,POINT (-122.5142 38.4925),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
35.5786,-115.4527,314.2,1.1,1.0,2023-01-23,2052,Aqua,MODIS,61,6.03,285.6,13.5,D,0,POINT (-115.4527 35.5786),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
33.5638,-116.0182,310.1,1.2,1.1,2023-01-24,1804,Terra,MODIS,70,6.03,294.2,8.8,D,0,POINT (-116.0182 33.5638),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
34.8105,-119.4577,306.1,1.3,1.1,2023-01-24,2134,Aqua,MODIS,59,6.03,292.1,7.7,D,0,POINT (-119.4577 34.8105),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
39.192,-121.5112,309.6,1.2,1.1,2023-01-24,2136,Aqua,MODIS,65,6.03,289.5,13.2,D,0,POINT (-121.5112 39.192),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
39.4105,-122.9715,310.0,1.1,1.0,2023-01-24,2136,Aqua,MODIS,60,6.03,291.1,10.9,D,0,POINT (-122.9715 39.4105),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
39.5988,-121.836,309.2,1.2,1.1,2023-01-24,2136,Aqua,MODIS,68,6.03,291.0,10.4,D,0,POINT (-121.836 39.5988),0,56,4,9,06,01779778,06,CA,California,00,G4000,A,403467168329.0,20499799756.0,+37.1551773,-119.5434183,5258040.97667,5258040.97667,671892661618.0
