latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.7985,-94.8185,306.1,1.1,1,2023-01-01,1701,Terra,MODIS,44,6.03,285,8.1,D,0
32.4035,-99.2253,303.6,1.1,1,2023-01-01,1701,Terra,MODIS,40,6.03,288.8,5.3,D,0
32.405,-99.2365,313.3,1.1,1,2023-01-01,1701,Terra,MODIS,74,6.03,289.9,12.6,D,0
29.5743,-98.0297,305.8,1,1,2023-01-01,1702,Terra,MODIS,58,6.03,293.8,3.9,D,2
32.1731,-102.2674,300.2,1.5,1.2,2023-01-01,1702,Terra,MODIS,11,6.03,281.1,7.1,D,0
31.6523,-97.0887,300.7,1,1,2023-01-01,1702,Terra,MODIS,41,6.03,289,3,D,0
26.5557,-81.0552,310.1,2.5,1.5,2023-01-01,1819,Aqua,MODIS,54,6.03,294.9,17.2,D,0
26.564,-81.0828,327.4,2.5,1.5,2023-01-01,1819,Aqua,MODIS,82,6.03,294.4,76.7,D,0
26.569,-81.0586,328.5,2.5,1.5,2023-01-01,1819,Aqua,MODIS,83,6.03,294.2,81.2,D,0
26.5611,-81.0496,318.6,2.5,1.5,2023-01-01,1819,Aqua,MODIS,73,6.03,294.6,41.4,D,0
26.5563,-81.0738,341.6,2.5,1.5,2023-01-01,1819,Aqua,MODIS,91,6.03,294.1,154.3,D,0
26.5507,-81.0793,310.5,2.5,1.5,2023-01-01,1819,Aqua,MODIS,57,6.03,293.5,17.9,D,0
37.5604,-120.9665,302.4,1,1,2023-01-01,1839,Terra,MODIS,52,6.03,283.4,6.9,D,0
31.8845,-97.2911,312.2,1.1,1,2023-01-01,1959,Aqua,MODIS,67,6.03,296.7,8.1,D,0
31.5315,-99.3876,315.4,1,1,2023-01-01,1959,Aqua,MODIS,70,6.03,296.6,10.3,D,0
29.7107,-100.5382,308,1.1,1,2023-01-01,1959,Aqua,MODIS,63,6.03,288.2,7.1,D,0
29.971,-97.2984,332.8,1,1,2023-01-01,1959,Aqua,MODIS,87,6.03,297.5,31.7,D,0
29.9724,-97.2877,316.6,1,1,2023-01-01,1959,Aqua,MODIS,74,6.03,296.3,12.4,D,0
32.1507,-101.9342,331.6,1.1,1.1,2023-01-01,2000,Aqua,MODIS,87,6.03,293.6,34.3,D,2
32.2088,-101.9355,338.3,1.1,1.1,2023-01-01,2000,Aqua,MODIS,91,6.03,298,44.4,D,2
32.2069,-101.9473,311.3,1.1,1.1,2023-01-01,2000,Aqua,MODIS,65,6.03,294.1,8.4,D,2
32.8886,-97.6861,303.7,1.1,1,2023-01-01,2000,Aqua,MODIS,43,6.03,288.7,4,D,0
37.6113,-97.3766,301.5,1.2,1.1,2023-01-01,2001,Aqua,MODIS,47,6.03,285.2,7.7,D,0
33.867,-79.2299,301.4,1.2,1.1,2023-01-02,1603,Terra,MODIS,47,6.03,287.6,6.7,D,0
30.5949,-83.5416,307.2,1,1,2023-01-02,1604,Terra,MODIS,65,6.03,289.8,5.5,D,0
32.809,-81.2574,306.3,1.1,1,2023-01-02,1604,Terra,MODIS,63,6.03,290.7,7.6,D,0
32.8073,-81.2465,300.3,1.1,1,2023-01-02,1604,Terra,MODIS,35,6.03,290,4,D,0
32.5029,-81.433,303.8,1,1,2023-01-02,1604,Terra,MODIS,57,6.03,292,5.2,D,0
32.5729,-81.9392,306.2,1,1,2023-01-02,1604,Terra,MODIS,63,6.03,291.1,6.2,D,0
32.1014,-82.0646,305.7,1,1,2023-01-02,1604,Terra,MODIS,62,6.03,291.4,6,D,0
31.823,-82.3578,311.1,1,1,2023-01-02,1604,Terra,MODIS,71,6.03,292,9.1,D,0
28.8988,-81.3206,309.8,1.1,1.1,2023-01-02,1605,Terra,MODIS,41,6.03,296.9,6.8,D,0
26.6617,-80.9434,342.1,1.3,1.1,2023-01-02,1605,Terra,MODIS,92,6.03,298.2,60.9,D,0
26.726,-81.0205,341.2,1.3,1.1,2023-01-02,1605,Terra,MODIS,91,6.03,297.3,57.9,D,0
26.7281,-81.0329,361.6,1.3,1.1,2023-01-02,1605,Terra,MODIS,100,6.03,298.4,122,D,0
28.9007,-81.3321,310.3,1.1,1.1,2023-01-02,1605,Terra,MODIS,34,6.03,296.6,7.8,D,0
27.4339,-80.6381,308.9,1.3,1.1,2023-01-02,1605,Terra,MODIS,50,6.03,295.8,7.7,D,0
27.5083,-82.2827,309.7,1.1,1,2023-01-02,1605,Terra,MODIS,60,6.03,296.3,6.2,D,0
26.5115,-80.5541,352.5,1.4,1.2,2023-01-02,1605,Terra,MODIS,97,6.03,292.7,100,D,0
26.923,-80.6048,344.1,1.3,1.1,2023-01-02,1605,Terra,MODIS,0,6.03,298.8,70.5,D,0
26.9208,-80.5918,344.8,1.3,1.1,2023-01-02,1605,Terra,MODIS,88,6.03,299.5,72.8,D,0
26.5139,-80.5673,379.8,1.4,1.2,2023-01-02,1605,Terra,MODIS,94,6.03,295.9,232.6,D,0
26.6503,-80.9394,334.4,1.3,1.1,2023-01-02,1605,Terra,MODIS,87,6.03,297.1,43.3,D,0
26.6518,-80.9455,356.3,1.3,1.1,2023-01-02,1605,Terra,MODIS,98,6.03,297.4,104.3,D,0
26.505,-81.9211,311.6,1.2,1.1,2023-01-02,1606,Terra,MODIS,66,6.03,296.1,7.2,D,2
32.1829,-102.2676,308.4,1.6,1.3,2023-01-02,1743,Terra,MODIS,66,6.03,295.2,10.3,D,0
27.5078,-80.4934,331.7,1.3,1.1,2023-01-02,1902,Aqua,MODIS,85,6.03,300.2,38.4,D,0
27.15,-81.0905,308.9,1.2,1.1,2023-01-02,1902,Aqua,MODIS,13,6.03,296.6,4.9,D,0
26.7277,-81.3796,321.6,1.1,1.1,2023-01-02,1902,Aqua,MODIS,76,6.03,295.4,17.8,D,0
27.5754,-81.7449,311.7,1.1,1.1,2023-01-02,1902,Aqua,MODIS,60,6.03,297.9,6.8,D,0
32.5848,-82.5249,305,1.2,1.1,2023-01-02,1903,Aqua,MODIS,45,6.03,288.4,4.6,D,0
29.7202,-83.0316,310.1,1.1,1,2023-01-02,1903,Aqua,MODIS,63,6.03,296.2,6.5,D,0
30.1231,-82.554,307.7,1.1,1,2023-01-02,1903,Aqua,MODIS,56,6.03,296.3,5.3,D,0
30.5915,-83.5345,307.2,1,1,2023-01-02,1903,Aqua,MODIS,52,6.03,295.1,4.5,D,0
30.59,-83.5452,315,1,1,2023-01-02,1903,Aqua,MODIS,72,6.03,295.2,10.7,D,0
31.3185,-83.2502,313.2,1.1,1,2023-01-02,1903,Aqua,MODIS,70,6.03,296.1,9.3,D,0
31.4487,-83.4444,338.3,1.1,1,2023-01-02,1903,Aqua,MODIS,90,6.03,297.5,39.6,D,0
31.4472,-83.4554,326.2,1.1,1,2023-01-02,1903,Aqua,MODIS,82,6.03,297.1,21.8,D,0
31.6323,-82.4997,311.6,1.1,1.1,2023-01-02,1903,Aqua,MODIS,66,6.03,295.2,9.2,D,0
